  cell  ,E,W,N,S
"(1, 1)",1,0,0,1
"(2, 1)",1,0,1,1
"(3, 1)",0,0,1,1
"(4, 1)",1,0,1,1
"(5, 1)",1,0,1,1
"(6, 1)",1,0,1,1
"(7, 1)",1,0,1,1
"(8, 1)",0,0,1,1
"(9, 1)",0,0,1,1
"(10, 1)",1,0,1,1
"(11, 1)",0,0,1,0
"(12, 1)",1,0,0,1
"(13, 1)",0,0,1,1
"(14, 1)",0,0,1,1
"(15, 1)",0,0,1,1
"(16, 1)",1,0,1,1
"(17, 1)",0,0,1,1
"(18, 1)",0,0,1,0
"(19, 1)",1,0,0,1
"(20, 1)",0,0,1,1
"(21, 1)",0,0,1,1
"(22, 1)",0,0,1,1
"(23, 1)",1,0,1,1
"(24, 1)",0,0,1,1
"(25, 1)",1,0,1,0
"(26, 1)",1,0,0,1
"(27, 1)",0,0,1,1
"(28, 1)",0,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,1
"(31, 1)",0,0,1,1
"(32, 1)",1,0,1,0
"(33, 1)",1,0,0,1
"(34, 1)",1,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",0,0,1,1
"(37, 1)",1,0,1,0
"(38, 1)",1,0,0,1
"(39, 1)",1,0,1,1
"(40, 1)",0,0,1,0
"(41, 1)",1,0,0,1
"(42, 1)",1,0,1,1
"(43, 1)",0,0,1,1
"(44, 1)",1,0,1,1
"(45, 1)",1,0,1,1
"(46, 1)",0,0,1,1
"(47, 1)",0,0,1,0
"(48, 1)",1,0,0,1
"(49, 1)",1,0,1,0
"(50, 1)",1,0,0,1
"(51, 1)",0,0,1,1
"(52, 1)",0,0,1,1
"(53, 1)",0,0,1,1
"(54, 1)",1,0,1,1
"(55, 1)",1,0,1,0
"(56, 1)",1,0,0,1
"(57, 1)",0,0,1,1
"(58, 1)",0,0,1,1
"(59, 1)",1,0,1,0
"(60, 1)",1,0,0,0
"(1, 2)",0,1,0,0
"(2, 2)",1,1,0,0
"(3, 2)",1,0,0,1
"(4, 2)",0,1,1,0
"(5, 2)",0,1,0,0
"(6, 2)",1,1,0,0
"(7, 2)",0,1,0,1
"(8, 2)",0,0,1,1
"(9, 2)",1,0,1,0
"(10, 2)",0,1,0,1
"(11, 2)",1,0,1,0
"(12, 2)",1,1,0,0
"(13, 2)",0,0,0,1
"(14, 2)",1,0,1,1
"(15, 2)",1,0,1,0
"(16, 2)",0,1,0,1
"(17, 2)",0,0,1,1
"(18, 2)",0,0,1,1
"(19, 2)",0,1,1,1
"(20, 2)",0,0,1,0
"(21, 2)",1,0,0,1
"(22, 2)",1,0,1,1
"(23, 2)",1,1,1,1
"(24, 2)",0,0,1,0
"(25, 2)",0,1,0,1
"(26, 2)",0,1,1,1
"(27, 2)",0,0,1,1
"(28, 2)",0,0,1,1
"(29, 2)",1,0,1,0
"(30, 2)",1,1,0,0
"(31, 2)",1,0,0,0
"(32, 2)",1,1,0,0
"(33, 2)",1,1,0,0
"(34, 2)",0,1,0,1
"(35, 2)",1,0,1,0
"(36, 2)",1,0,0,1
"(37, 2)",0,1,1,1
"(38, 2)",1,1,1,0
"(39, 2)",0,1,0,1
"(40, 2)",1,0,1,0
"(41, 2)",1,1,0,0
"(42, 2)",0,1,0,1
"(43, 2)",1,0,1,0
"(44, 2)",0,1,0,0
"(45, 2)",1,1,0,1
"(46, 2)",0,0,1,1
"(47, 2)",1,0,1,1
"(48, 2)",0,1,1,0
"(49, 2)",1,1,0,1
"(50, 2)",1,1,1,0
"(51, 2)",1,0,0,1
"(52, 2)",0,0,1,1
"(53, 2)",1,0,1,0
"(54, 2)",1,1,0,0
"(55, 2)",1,1,0,1
"(56, 2)",0,1,1,0
"(57, 2)",1,0,0,1
"(58, 2)",0,0,1,1
"(59, 2)",0,1,1,0
"(60, 2)",1,1,0,0
"(1, 3)",1,0,0,1
"(2, 3)",0,1,1,1
"(3, 3)",1,1,1,0
"(4, 3)",1,0,0,1
"(5, 3)",0,0,1,1
"(6, 3)",0,1,1,1
"(7, 3)",1,0,1,1
"(8, 3)",1,0,1,0
"(9, 3)",1,1,0,0
"(10, 3)",1,0,0,1
"(11, 3)",0,1,1,0
"(12, 3)",1,1,0,0
"(13, 3)",1,0,0,1
"(14, 3)",0,1,1,0
"(15, 3)",1,1,0,0
"(16, 3)",0,0,0,1
"(17, 3)",0,0,1,1
"(18, 3)",1,0,1,0
"(19, 3)",1,0,0,1
"(20, 3)",1,0,1,0
"(21, 3)",1,1,0,0
"(22, 3)",1,1,0,0
"(23, 3)",1,1,0,0
"(24, 3)",1,0,0,1
"(25, 3)",0,0,1,1
"(26, 3)",1,0,1,0
"(27, 3)",0,0,0,1
"(28, 3)",0,0,1,1
"(29, 3)",0,1,1,0
"(30, 3)",1,1,0,0
"(31, 3)",1,1,0,0
"(32, 3)",1,1,0,0
"(33, 3)",1,1,0,1
"(34, 3)",0,0,1,0
"(35, 3)",0,1,0,1
"(36, 3)",0,1,1,0
"(37, 3)",1,0,0,1
"(38, 3)",1,1,1,0
"(39, 3)",1,0,0,1
"(40, 3)",0,1,1,0
"(41, 3)",0,1,0,1
"(42, 3)",1,0,1,0
"(43, 3)",0,1,0,1
"(44, 3)",0,0,1,1
"(45, 3)",0,1,1,0
"(46, 3)",1,0,0,1
"(47, 3)",1,1,1,0
"(48, 3)",1,0,0,1
"(49, 3)",0,1,1,0
"(50, 3)",1,1,0,0
"(51, 3)",1,1,0,0
"(52, 3)",1,0,0,1
"(53, 3)",1,1,1,0
"(54, 3)",1,1,0,0
"(55, 3)",1,1,0,1
"(56, 3)",1,0,1,0
"(57, 3)",1,1,0,0
"(58, 3)",1,0,0,1
"(59, 3)",1,0,1,0
"(60, 3)",1,1,0,0
"(1, 4)",1,1,0,0
"(2, 4)",1,0,0,1
"(3, 4)",0,1,1,1
"(4, 4)",0,1,1,0
"(5, 4)",0,0,0,1
"(6, 4)",1,0,1,0
"(7, 4)",1,1,0,0
"(8, 4)",1,1,0,0
"(9, 4)",1,1,0,0
"(10, 4)",1,1,0,1
"(11, 4)",1,0,1,0
"(12, 4)",0,1,0,1
"(13, 4)",0,1,1,0
"(14, 4)",1,0,0,0
"(15, 4)",0,1,0,1
"(16, 4)",0,0,1,1
"(17, 4)",0,0,1,1
"(18, 4)",1,1,1,0
"(19, 4)",1,1,0,0
"(20, 4)",1,1,0,0
"(21, 4)",1,1,0,0
"(22, 4)",1,1,0,0
"(23, 4)",0,1,0,0
"(24, 4)",1,1,0,0
"(25, 4)",1,0,0,0
"(26, 4)",1,1,0,0
"(27, 4)",1,0,0,1
"(28, 4)",0,0,1,1
"(29, 4)",1,0,1,0
"(30, 4)",1,1,0,0
"(31, 4)",1,1,0,1
"(32, 4)",0,1,1,0
"(33, 4)",1,1,0,0
"(34, 4)",1,0,0,1
"(35, 4)",0,0,1,1
"(36, 4)",1,0,1,0
"(37, 4)",1,1,0,0
"(38, 4)",1,1,0,0
"(39, 4)",0,1,0,1
"(40, 4)",1,0,1,1
"(41, 4)",1,0,1,1
"(42, 4)",1,1,1,0
"(43, 4)",0,0,0,1
"(44, 4)",0,0,1,1
"(45, 4)",1,0,1,1
"(46, 4)",0,1,1,0
"(47, 4)",1,1,0,0
"(48, 4)",0,1,0,1
"(49, 4)",1,0,1,0
"(50, 4)",1,1,0,0
"(51, 4)",1,1,0,0
"(52, 4)",1,1,0,0
"(53, 4)",1,1,0,0
"(54, 4)",0,1,0,1
"(55, 4)",0,1,1,0
"(56, 4)",1,1,0,1
"(57, 4)",1,1,1,0
"(58, 4)",1,1,0,0
"(59, 4)",0,1,0,1
"(60, 4)",0,1,1,0
"(1, 5)",1,1,0,1
"(2, 5)",0,1,1,1
"(3, 5)",0,0,1,1
"(4, 5)",0,0,1,1
"(5, 5)",1,0,1,0
"(6, 5)",0,1,0,1
"(7, 5)",1,1,1,0
"(8, 5)",0,1,0,1
"(9, 5)",0,1,1,0
"(10, 5)",0,1,0,0
"(11, 5)",1,1,0,1
"(12, 5)",1,0,1,0
"(13, 5)",1,0,0,1
"(14, 5)",1,1,1,1
"(15, 5)",1,0,1,1
"(16, 5)",1,0,1,1
"(17, 5)",0,0,1,0
"(18, 5)",1,1,0,0
"(19, 5)",1,1,0,0
"(20, 5)",0,1,0,1
"(21, 5)",1,1,1,0
"(22, 5)",0,1,0,1
"(23, 5)",0,0,1,1
"(24, 5)",0,1,1,1
"(25, 5)",1,1,1,0
"(26, 5)",1,1,0,0
"(27, 5)",0,1,0,1
"(28, 5)",1,0,1,0
"(29, 5)",1,1,0,0
"(30, 5)",1,1,0,0
"(31, 5)",1,1,0,0
"(32, 5)",1,0,0,0
"(33, 5)",1,1,0,0
"(34, 5)",0,1,0,1
"(35, 5)",1,0,1,0
"(36, 5)",0,1,0,1
"(37, 5)",0,1,1,0
"(38, 5)",0,1,0,1
"(39, 5)",0,0,1,1
"(40, 5)",0,1,1,0
"(41, 5)",0,1,0,0
"(42, 5)",0,1,0,1
